"mode","qemu_m","completed","psram_found_mb","before_heap_free","before_internal_free","before_spiram_free","after_heap_free","after_internal_free","after_spiram_free","html_parse_us","css_parse_us","render_tree_us","layout_us","layer_tree_us","flatten_layers_us","render_frame_us","present_rgb565_us","full_pipeline_us","stderr","log_stdout","log_stderr"
"octal","4M","True","4","4558719","367171","4191548","4225603","34347","4191256","32286.25","3523.9","56566.2","15747.7","9554.15","414.05","24328.1","34794.05","168014.35","Adding SPI flash device","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-octal\qemu-octal-4m.out.log","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-octal\qemu-octal-4m.err.log"
"octal","8M","True","8","8752891","367171","8385720","8419775","34347","8385428","32277.15","3497.65","56222.75","16207.85","9560.95","417.8","24206.7","34742.05","168882.25","Adding SPI flash device","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-octal\qemu-octal-8m.out.log","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-octal\qemu-octal-8m.err.log"
"octal","16M","True","16","17141367","367171","16774196","16808251","34347","16773904","32335.1","3552.8","56132.4","15913.9","9518.4","410.4","24615.7","34359.75","167822.5","Adding SPI flash device","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-octal\qemu-octal-16m.out.log","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-octal\qemu-octal-16m.err.log"
"octal","32M","True","32","33263091","367171","32895920","32929975","34347","32895628","32637.85","3546.6","55988.65","15645.1","9497.15","425.55","24545.1","34488.3","168361.95","Adding SPI flash device","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-octal\qemu-octal-32m.out.log","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-octal\qemu-octal-32m.err.log"
