"qemu_m","completed","psram_found_mb","before_heap_free","before_internal_free","before_spiram_free","after_heap_free","after_internal_free","after_spiram_free","html_parse_us","css_parse_us","render_tree_us","layout_us","layer_tree_us","flatten_layers_us","render_frame_us","present_rgb565_us","full_pipeline_us","stderr","log_stdout","log_stderr"
"4M","True","4","4559911","368363","4191548","4226787","35239","4191548","33281.95","3755.85","56888","16573.9","10008.95","424.3","24660.5","35433.15","175904.45","Adding SPI flash device","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-auto\qemu-4m.out.log","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-auto\qemu-4m.err.log"
"8M","True","8","8754083","368363","8385720","8420959","35239","8385720","33372.7","3544.2","57241.05","16222.65","9829.25","424.2","24661.7","35142.05","176699.05","Adding SPI flash device","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-auto\qemu-8m.out.log","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-auto\qemu-8m.err.log"
"16M","False",,"0","0","0","0","0","0",,,,,,,,,,"Adding SPI flash device","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-auto\qemu-16m.out.log","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-auto\qemu-16m.err.log"
"32M","False",,"0","0","0","0","0","0",,,,,,,,,,"Adding SPI flash device","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-auto\qemu-32m.out.log","C:\Users\Administrator\AppData\Local\Temp\jellyframe-qemu-s3-gradient-auto\qemu-32m.err.log"
